Date,Category,Payment_Mode,Description,Amount,Cashback
1/6/2024,Groceries,Debit Card,Bought vegetables and fruits,292.83,0
1/6/2024,Transportation,Credit Card,Uber ride to the office,437.7,0
1/7/2024,Food,UPI,Ordered food from swiggy,144.05,0
1/7/2024,Medical Health,Credit Card,Bought medication,46.67,0
1/7/2024,Groceries,UPI,Purchased daily essentials,163.78,1.16
1/7/2024,Medical Health,Debit Card,Medical insurance payment,687.78,0
1/7/2024,Entertainment,Debit Card,Gaming console purchase,971.76,0
1/7/2024,Shopping,Netbanking,Bought household items,391.07,0
1/7/2024,Transportation,UPI,Uber ride to the office,356.23,0.96
1/7/2024,Investment,Credit Card,Bought mutual fund units,455.22,0
1/7/2024,Investment,Debit Card,Bought mutual fund units,247.74,0
1/8/2024,Transportation,Debit Card,Paid for a cab ride to work,37.39,0
1/8/2024,Investment,Cash,Purchased bonds,259.17,0
1/8/2024,Food,Credit Card,Ordered food from swiggy,343.53,0
1/8/2024,Groceries,Debit Card,Bought fresh fruits and snacks,608.47,0
1/8/2024,Groceries,Netbanking,Purchased daily essentials,314.37,0
1/8/2024,Shopping,Credit Card,Bought household items,367.04,9.73
1/8/2024,Food,Credit Card,Had lunch at hotel,39.45,0
1/8/2024,Groceries,Debit Card,Grocery shopping at the local store,905.37,0
1/9/2024,Food,UPI,Took out a meal from a restaurant,996.01,0
1/9/2024,Medical Health,UPI,Bought medication,499.47,0
1/9/2024,Shopping,Netbanking,Bought household items,490.6,0
1/9/2024,Shopping,UPI,Shopping for accessories,646.83,0
1/9/2024,Groceries,Netbanking,Purchased daily essentials,267.14,0
1/9/2024,Groceries,Cash,Bought vegetables and fruits,784.31,0
1/9/2024,Groceries,UPI,Bought fresh fruits and snacks,490.4,1.34
1/9/2024,Investment,Debit Card,Investment in gold,152.35,0
1/10/2024,Medical Health,Cash,Doctor's consultation fee,791.67,0
1/10/2024,Entertainment,Netbanking,Concert tickets,362.01,0
1/10/2024,Investment,Netbanking,Invested in stocks,188.33,0
1/10/2024,Food,Netbanking,Ordered food from swiggy,124.58,0
1/10/2024,Groceries,UPI,Bought fresh fruits and snacks,346.86,0
1/10/2024,Entertainment,Debit Card,Gaming console purchase,256.28,0
1/11/2024,Shopping,UPI,Bought a gift for a friend's birthday,878.36,0
1/11/2024,Shopping,Credit Card,Purchased electronics,763.45,1.02
1/11/2024,Transportation,Cash,Paid for a cab ride to work,469.73,0
1/11/2024,Transportation,Debit Card,Uber ride to the office,239.62,0
1/12/2024,Medical Health,Netbanking,Doctor's consultation fee,692.34,0
1/12/2024,Food,UPI,Had lunch at hotel,825.6,0
1/12/2024,Food,UPI,Had dinner at a restaurant with friends,377.68,0
1/12/2024,Transportation,Cash,Uber ride to the office,223.78,0
1/12/2024,Medical Health,Cash,Health checkup cost,650.93,0
1/12/2024,Entertainment,Credit Card,Gaming console purchase,836.5,0
1/13/2024,Investment,Netbanking,Bought mutual fund units,543.94,0
1/13/2024,Food,Netbanking,Ordered food from swiggy,671.68,0
1/13/2024,Transportation,Cash,Bought a metro ticket for travel,887.74,0
1/13/2024,Food,Netbanking,Took out a meal from a restaurant,697.52,0
1/14/2024,Transportation,Credit Card,Fuel refilled for the bike,24.13,0
1/14/2024,Shopping,Cash,Purchased electronics,203.85,0
1/14/2024,Groceries,Cash,Bought fresh fruits and snacks,423.59,0
1/14/2024,Investment,Credit Card,Invested in stocks,516.16,0
1/14/2024,Medical Health,Debit Card,Bought medication,709.02,0
1/14/2024,Medical Health,Debit Card,Medical insurance payment,477.92,0
1/15/2024,Food,UPI,Dinner delivery from zomato,749.77,0
1/15/2024,Investment,Cash,Investment in gold,806.53,0
1/15/2024,Transportation,Cash,Bought a metro ticket for travel,584.92,0
1/15/2024,Food,Credit Card,Had dinner at a restaurant with friends,133.24,0
1/15/2024,Transportation,Cash,Uber ride to the office,13.69,0
1/15/2024,Food,Cash,Had lunch at hotel,77.32,0
1/16/2024,Medical Health,Credit Card,Medical insurance payment,282.53,0
1/16/2024,Transportation,Credit Card,Fuel refilled for the bike,460.78,0
1/16/2024,Groceries,Debit Card,Bought fresh fruits and snacks,374.18,0
1/16/2024,Groceries,UPI,Purchased daily essentials,85.99,0
1/16/2024,Investment,Credit Card,Bought mutual fund units,524.3,8.69
1/17/2024,Shopping,UPI,Bought clothes,128.43,0
1/17/2024,Medical Health,UPI,Bought medication,86.93,0
1/17/2024,Transportation,UPI,Paid for a cab ride to work,911.22,0
1/17/2024,Entertainment,Cash,Concert tickets,367.93,0
1/18/2024,Transportation,Credit Card,Uber ride to the office,810.3,0
1/18/2024,Medical Health,UPI,Health checkup cost,351.17,0
1/18/2024,Food,UPI,Ordered food from swiggy,564.14,0
1/18/2024,Investment,Cash,Purchased bonds,166.13,0
1/18/2024,Food,Cash,Ordered food from swiggy,512.67,0
1/18/2024,Shopping,Credit Card,Shopping for accessories,403.94,0
1/19/2024,Food,Credit Card,Had dinner at a restaurant with friends,840.16,0
1/19/2024,Transportation,Cash,Fuel refilled for the bike,112.16,0
1/19/2024,Food,Netbanking,Took out a meal from a restaurant,338.03,0
1/19/2024,Investment,UPI,Bought mutual fund units,33.26,0
1/19/2024,Shopping,Netbanking,Purchased electronics,946.15,0
1/20/2024,Groceries,Netbanking,Bought vegetables and fruits,257.42,0
1/20/2024,Investment,Credit Card,Bought mutual fund units,279.46,0
1/20/2024,Groceries,Netbanking,Bought vegetables and fruits,206.12,0
1/21/2024,Medical Health,Credit Card,Bought medication,746.62,0
1/21/2024,Shopping,UPI,Bought clothes,640.52,0
1/21/2024,Investment,UPI,Purchased bonds,456.25,2.22
1/21/2024,Transportation,UPI,Paid for a cab ride to work,574.37,0
1/21/2024,Groceries,Cash,Grocery shopping at the local store,224.69,0
1/21/2024,Medical Health,Cash,Doctor's consultation fee,902.34,0
1/22/2024,Transportation,Netbanking,Paid for a cab ride to work,729.26,0
1/22/2024,Transportation,UPI,Uber ride to the office,655,0
1/22/2024,Groceries,Cash,Bought vegetables and fruits,276.86,0
1/22/2024,Investment,UPI,Bought mutual fund units,338.58,0
1/22/2024,Groceries,UPI,Bought vegetables and fruits,984.28,5.56
1/22/2024,Investment,Credit Card,Investment in gold,272.02,0
1/22/2024,Food,Netbanking,Dinner delivery from zomato,902.03,0
1/22/2024,Shopping,Netbanking,Bought a gift for a friend's birthday,211.81,0
1/23/2024,Food,Cash,Ordered food from swiggy,657.83,0
1/23/2024,Investment,Netbanking,Invested in stocks,872.6,0
1/23/2024,Entertainment,Netbanking,Movie tickets,218.16,0
1/23/2024,Medical Health,Cash,Doctor's consultation fee,375.45,0
1/23/2024,Transportation,Debit Card,Paid for a cab ride to work,63.18,0
1/23/2024,Shopping,UPI,Bought a gift for a friend's birthday,274.96,0
1/23/2024,Investment,Cash,Bought mutual fund units,767.64,0
1/23/2024,Groceries,Cash,Grocery shopping at the local store,222.73,0
1/23/2024,Transportation,Credit Card,Uber ride to the office,982.36,0
1/23/2024,Transportation,Cash,Paid for a cab ride to work,948.96,0
1/23/2024,Transportation,Credit Card,Uber ride to the office,198.35,8.76
1/23/2024,Food,Cash,Ordered food from swiggy,183.58,0
1/23/2024,Transportation,UPI,Uber ride to the office,88.49,0
1/23/2024,Medical Health,Cash,Bought medication,30.71,0
1/24/2024,Transportation,Debit Card,Fuel refilled for the bike,161.92,0
1/24/2024,Shopping,UPI,Bought clothes,576.45,0
1/24/2024,Entertainment,Netbanking,Movie tickets,532.08,0
1/24/2024,Investment,Debit Card,Bought mutual fund units,486.59,0
1/24/2024,Shopping,Netbanking,Bought a gift for a friend's birthday,121.71,0
1/24/2024,Medical Health,Credit Card,Health checkup cost,934.72,7.44
1/25/2024,Medical Health,Credit Card,Health checkup cost,684.61,0.85
1/25/2024,Shopping,Debit Card,Shopping for accessories,113.06,0
1/25/2024,Medical Health,Debit Card,Doctor's consultation fee,369.87,0
1/25/2024,Entertainment,Debit Card,Movie tickets,143.73,0
1/25/2024,Investment,Debit Card,Purchased bonds,890.02,0
1/25/2024,Transportation,Netbanking,Paid for train ticket,182.86,0
1/26/2024,Groceries,Credit Card,Bought fresh fruits and snacks,942.31,0
1/26/2024,Food,Cash,Ordered food from swiggy,906.69,0
1/26/2024,Transportation,Cash,Paid for a cab ride to work,761.32,0
1/26/2024,Groceries,UPI,Bought fresh fruits and snacks,132.34,0
1/26/2024,Food,Credit Card,Had dinner at a restaurant with friends,352.35,0
1/26/2024,Groceries,Credit Card,Grocery shopping at the local store,281.3,0
1/26/2024,Shopping,Credit Card,Purchased electronics,756.09,0
1/26/2024,Investment,Netbanking,Purchased bonds,455.63,0
1/26/2024,Food,Cash,Ordered food from swiggy,577.36,0
1/26/2024,Entertainment,Debit Card,Gaming console purchase,51.5,0
1/27/2024,Investment,Cash,Invested in stocks,178.98,0
1/27/2024,Transportation,Netbanking,Uber ride to the office,810.92,0
1/27/2024,Transportation,Netbanking,Uber ride to the office,221.09,0
1/27/2024,Food,Credit Card,Had lunch at hotel,625.1,0
1/27/2024,Investment,Cash,Bought mutual fund units,229.56,0
1/28/2024,Entertainment,Cash,Movie tickets,429.44,0
1/28/2024,Medical Health,Credit Card,Doctor's consultation fee,596.81,7.1
1/28/2024,Entertainment,Netbanking,Movie tickets,452.88,0
1/29/2024,Entertainment,Cash,Gaming console purchase,690.01,0
1/29/2024,Medical Health,Debit Card,Doctor's consultation fee,142.24,0
1/29/2024,Investment,Debit Card,Invested in stocks,976.13,0
1/29/2024,Shopping,Netbanking,Bought a gift for a friend's birthday,703.95,0
1/30/2024,Investment,Netbanking,Invested in stocks,641.94,0
1/30/2024,Food,UPI,Had dinner at a restaurant with friends,653.53,0
1/30/2024,Shopping,Cash,Bought clothes,340.08,0
1/30/2024,Transportation,Debit Card,Bought a metro ticket for travel,399.35,0
1/30/2024,Investment,Netbanking,Investment in gold,175.97,0
1/30/2024,Shopping,UPI,Purchased electronics,442.47,1.62
1/30/2024,Entertainment,Credit Card,Concert tickets,558.25,0
2/1/2024,Shopping,Debit Card,Shopping for accessories,141.57,0
2/1/2024,Investment,UPI,Invested in stocks,785.61,0
2/1/2024,Food,Netbanking,Took out a meal from a restaurant,58.74,0
2/1/2024,Groceries,Debit Card,Bought vegetables and fruits,724.04,0
2/1/2024,Shopping,UPI,Shopping for accessories,193.09,0
2/1/2024,Entertainment,Credit Card,Concert tickets,167.9,0
2/1/2024,Medical Health,Debit Card,Medical insurance payment,769.1,0
2/1/2024,Entertainment,Netbanking,Movie tickets,960.91,0
2/1/2024,Food,UPI,Had lunch at hotel,430.1,0
2/1/2024,Transportation,Credit Card,Uber ride to the office,677.06,0
2/1/2024,Shopping,UPI,Shopping for accessories,213.4,2.77
2/1/2024,Food,Cash,Ordered food from swiggy,475.76,0
2/2/2024,Entertainment,Netbanking,Concert tickets,211.66,0
2/2/2024,Groceries,Cash,Bought fresh fruits and snacks,137.53,0
2/2/2024,Transportation,Netbanking,Bought a metro ticket for travel,127.24,0
2/2/2024,Groceries,Cash,Bought fresh fruits and snacks,771.74,0
2/3/2024,Food,Credit Card,Ordered food from swiggy,351.51,0
2/3/2024,Groceries,Cash,Grocery shopping at the local store,929.63,0
2/3/2024,Investment,Credit Card,Bought mutual fund units,60.05,0
2/3/2024,Medical Health,Netbanking,Bought medication,525.36,0
2/3/2024,Transportation,Credit Card,Uber ride to the office,541.79,0
2/3/2024,Groceries,Debit Card,Bought fresh fruits and snacks,485.73,0
2/3/2024,Shopping,Debit Card,Bought household items,737.01,0
2/3/2024,Investment,Credit Card,Invested in stocks,930.15,0.57
2/3/2024,Medical Health,Netbanking,Bought medication,448.19,0
2/3/2024,Groceries,UPI,Grocery shopping at the local store,282.99,0
2/4/2024,Shopping,Cash,Bought clothes,208.08,0
2/4/2024,Entertainment,Netbanking,Concert tickets,112.99,0
2/4/2024,Investment,UPI,Bought mutual fund units,474.84,0
2/4/2024,Transportation,Cash,Paid for a cab ride to work,140.96,0
2/5/2024,Shopping,Credit Card,Bought a gift for a friend's birthday,251.94,2.45
2/5/2024,Transportation,Cash,Uber ride to the office,14.18,0
2/5/2024,Investment,UPI,Invested in stocks,638.94,0
2/5/2024,Shopping,UPI,Bought clothes,60.34,0
2/5/2024,Investment,Debit Card,Purchased bonds,11.84,0
2/6/2024,Investment,Netbanking,Invested in stocks,58.06,0
2/6/2024,Medical Health,Netbanking,Doctor's consultation fee,871.84,0
2/6/2024,Groceries,Cash,Bought fresh fruits and snacks,993.24,0
2/6/2024,Entertainment,UPI,Gaming console purchase,303.08,0
2/6/2024,Medical Health,Cash,Health checkup cost,147.62,0
2/6/2024,Entertainment,Cash,Concert tickets,730.46,0
2/6/2024,Entertainment,Credit Card,Gaming console purchase,565.09,3.2
2/6/2024,Investment,Credit Card,Purchased bonds,374.02,0
2/6/2024,Investment,Credit Card,Invested in stocks,278.88,0
2/6/2024,Entertainment,Netbanking,Gaming console purchase,757.02,0
2/7/2024,Entertainment,Netbanking,Concert tickets,57.36,0
2/7/2024,Groceries,UPI,Bought fresh fruits and snacks,48.66,0
2/7/2024,Medical Health,Credit Card,Medical insurance payment,509.47,0
2/7/2024,Investment,Credit Card,Investment in gold,999.79,6.57
2/7/2024,Food,Cash,Had lunch at hotel,44.15,0
2/7/2024,Groceries,Credit Card,Purchased daily essentials,792.03,8.26
2/7/2024,Medical Health,Credit Card,Medical insurance payment,623.91,0
2/7/2024,Shopping,Cash,Shopping for accessories,602.14,0
2/7/2024,Entertainment,UPI,Concert tickets,711.79,0
2/8/2024,Entertainment,UPI,Concert tickets,826.05,5.85
2/8/2024,Entertainment,Credit Card,Concert tickets,667.69,0
2/8/2024,Transportation,UPI,Bought a metro ticket for travel,297.55,0
2/8/2024,Investment,UPI,Invested in stocks,386.41,0
2/8/2024,Food,Credit Card,Had lunch at hotel,487.62,0
2/8/2024,Shopping,Debit Card,Bought clothes,234.71,0
2/9/2024,Food,Debit Card,Had lunch at hotel,670.17,0
2/9/2024,Food,Credit Card,Dinner delivery from zomato,807.68,0
2/9/2024,Medical Health,Credit Card,Medical insurance payment,289.2,0
2/9/2024,Investment,Netbanking,Bought mutual fund units,457.77,0
2/9/2024,Food,Credit Card,Took out a meal from a restaurant,177.27,0
2/9/2024,Investment,Credit Card,Investment in gold,952.08,0
2/9/2024,Entertainment,Netbanking,Movie tickets,939.26,0
2/9/2024,Investment,Cash,Investment in gold,939.78,0
2/10/2024,Medical Health,Credit Card,Bought medication,520.33,0
2/10/2024,Medical Health,UPI,Medical insurance payment,921.18,0
2/10/2024,Investment,Credit Card,Invested in stocks,369.4,1.33
2/10/2024,Transportation,UPI,Fuel refilled for the bike,224.13,0
2/10/2024,Entertainment,Netbanking,Movie tickets,389.74,0
2/10/2024,Investment,Debit Card,Investment in gold,691.65,0
2/10/2024,Medical Health,Debit Card,Health checkup cost,640.65,0
2/11/2024,Investment,Netbanking,Bought mutual fund units,259.72,0
2/11/2024,Investment,Netbanking,Invested in stocks,536.48,0
2/11/2024,Entertainment,Cash,Concert tickets,241.13,0
2/11/2024,Food,Credit Card,Dinner delivery from zomato,612,0
2/11/2024,Shopping,Netbanking,Purchased electronics,464.86,0
2/11/2024,Food,Debit Card,Had dinner at a restaurant with friends,365.04,0
2/11/2024,Medical Health,Debit Card,Bought medication,52.71,0
2/11/2024,Medical Health,Cash,Bought medication,901.57,0
2/11/2024,Shopping,Cash,Purchased electronics,460.59,0
2/12/2024,Food,Netbanking,Ordered food from swiggy,89.61,0
2/12/2024,Shopping,Debit Card,Purchased electronics,864.47,0
2/12/2024,Investment,Credit Card,Purchased bonds,942.45,8.59
2/12/2024,Entertainment,Cash,Concert tickets,671.8,0
2/12/2024,Shopping,Netbanking,Bought household items,433.3,0
2/12/2024,Groceries,Cash,Purchased daily essentials,982.24,0
2/12/2024,Shopping,Debit Card,Bought clothes,611.9,0
2/12/2024,Entertainment,Debit Card,Concert tickets,227.12,0
2/12/2024,Investment,Cash,Bought mutual fund units,121.6,0
2/12/2024,Medical Health,Debit Card,Doctor's consultation fee,440.45,0
2/13/2024,Groceries,Cash,Bought vegetables and fruits,817.85,0
2/13/2024,Transportation,Netbanking,Uber ride to the office,634.82,0
2/13/2024,Transportation,Cash,Fuel refilled for the bike,931.95,0
2/13/2024,Transportation,Netbanking,Uber ride to the office,709.11,0
2/13/2024,Investment,Debit Card,Bought mutual fund units,403.06,0
2/13/2024,Investment,Cash,Invested in stocks,575.42,0
2/13/2024,Entertainment,UPI,Movie tickets,469.24,0
2/13/2024,Groceries,Cash,Bought fresh fruits and snacks,634.61,0
2/13/2024,Groceries,Netbanking,Grocery shopping at the local store,618.5,0
2/14/2024,Groceries,UPI,Bought fresh fruits and snacks,812.29,0.66
2/14/2024,Groceries,UPI,Purchased daily essentials,746.29,0
2/14/2024,Transportation,UPI,Paid for a cab ride to work,828.08,0
2/14/2024,Transportation,Debit Card,Fuel refilled for the bike,513.33,0
2/15/2024,Food,Credit Card,Took out a meal from a restaurant,312.8,0
2/15/2024,Groceries,Debit Card,Grocery shopping at the local store,287.7,0
2/15/2024,Transportation,UPI,Paid for a cab ride to work,739.57,0
2/15/2024,Investment,Debit Card,Investment in gold,490.45,0
2/16/2024,Food,Cash,Took out a meal from a restaurant,205.98,0
2/16/2024,Medical Health,Netbanking,Medical insurance payment,877.03,0
2/16/2024,Shopping,Credit Card,Purchased electronics,219.31,0
2/16/2024,Investment,Credit Card,Invested in stocks,834.1,0
2/16/2024,Entertainment,Debit Card,Concert tickets,976.51,0
2/16/2024,Shopping,Credit Card,Bought clothes,141.63,0
2/16/2024,Groceries,Cash,Grocery shopping at the local store,211.36,0
2/16/2024,Food,Debit Card,Ordered food from swiggy,933.08,0
2/16/2024,Medical Health,Netbanking,Health checkup cost,216.38,0
2/16/2024,Investment,UPI,Purchased bonds,453.35,0
2/17/2024,Transportation,Netbanking,Paid for a cab ride to work,437.59,0
2/17/2024,Shopping,Netbanking,Bought household items,630.88,0
2/17/2024,Entertainment,Credit Card,Gaming console purchase,808.61,0
2/17/2024,Medical Health,Netbanking,Doctor's consultation fee,749.31,0
2/18/2024,Shopping,Debit Card,Bought household items,864.46,0
2/18/2024,Food,Cash,Had lunch at hotel,926.48,0
2/18/2024,Medical Health,Credit Card,Doctor's consultation fee,941.98,0
2/18/2024,Investment,Netbanking,Invested in stocks,507.18,0
2/18/2024,Entertainment,Debit Card,Concert tickets,407.4,0
2/18/2024,Entertainment,UPI,Gaming console purchase,988.27,0
2/19/2024,Transportation,Debit Card,Paid for a cab ride to work,668.71,0
2/19/2024,Groceries,Credit Card,Bought vegetables and fruits,428.04,0.59
2/19/2024,Shopping,Credit Card,Bought clothes,410.79,5.49
2/19/2024,Food,Netbanking,Had lunch at hotel,813.89,0
2/19/2024,Entertainment,Credit Card,Gaming console purchase,199.21,0
2/19/2024,Groceries,Debit Card,Grocery shopping at the local store,929.79,0
2/19/2024,Shopping,UPI,Bought household items,574.54,0
2/19/2024,Shopping,UPI,Shopping for accessories,759.25,5.59
2/19/2024,Food,Credit Card,Took out a meal from a restaurant,181.28,0
2/19/2024,Transportation,Debit Card,Fuel refilled for the bike,848.98,0
2/20/2024,Food,Debit Card,Had lunch at hotel,16.7,0
2/20/2024,Investment,Debit Card,Invested in stocks,809.51,0
2/20/2024,Investment,Cash,Investment in gold,756.9,0
2/20/2024,Shopping,Debit Card,Bought clothes,649.05,0
2/21/2024,Medical Health,Netbanking,Doctor's consultation fee,55.65,0
2/21/2024,Transportation,UPI,Paid for a cab ride to work,515.9,0
2/21/2024,Food,UPI,Ordered food from swiggy,827.84,0
2/21/2024,Food,Debit Card,Dinner delivery from zomato,769.44,0
2/21/2024,Medical Health,Netbanking,Bought medication,414.81,0
2/21/2024,Food,Credit Card,Ordered food from swiggy,406.33,0
2/21/2024,Medical Health,Cash,Health checkup cost,252.09,0
2/21/2024,Food,Credit Card,Dinner delivery from zomato,949.88,0
2/21/2024,Transportation,UPI,Fuel refilled for the bike,686.69,0
2/21/2024,Medical Health,UPI,Bought medication,574.86,0
2/22/2024,Shopping,UPI,Shopping for accessories,328.52,0
2/22/2024,Shopping,UPI,Bought household items,97.42,0
2/22/2024,Investment,UPI,Bought mutual fund units,763.96,0
2/22/2024,Transportation,UPI,Bought a metro ticket for travel,962.08,0
2/22/2024,Investment,Debit Card,Bought mutual fund units,701.91,0
2/23/2024,Medical Health,Credit Card,Medical insurance payment,208.12,0
2/23/2024,Shopping,Debit Card,Shopping for accessories,611.88,0
2/23/2024,Groceries,Credit Card,Purchased daily essentials,315.09,0
2/23/2024,Shopping,UPI,Bought a gift for a friend's birthday,644.74,0
2/23/2024,Groceries,Netbanking,Purchased daily essentials,77.1,0
2/23/2024,Medical Health,Debit Card,Medical insurance payment,540.58,0
2/23/2024,Shopping,Cash,Shopping for accessories,237.24,0
2/23/2024,Shopping,UPI,Shopping for accessories,965.67,0
2/23/2024,Transportation,Netbanking,Paid for a cab ride to work,714.71,0
2/23/2024,Food,Credit Card,Dinner delivery from zomato,478.04,3.22
2/23/2024,Investment,Cash,Investment in gold,673.43,0
2/24/2024,Investment,UPI,Purchased bonds,225.96,0
2/24/2024,Investment,Debit Card,Bought mutual fund units,595.14,0
2/24/2024,Entertainment,Cash,Gaming console purchase,604.35,0
2/24/2024,Investment,Credit Card,Investment in gold,738.14,0
2/24/2024,Food,Cash,Had lunch at hotel,341.91,0
2/24/2024,Medical Health,UPI,Bought medication,11.11,0
2/24/2024,Entertainment,Cash,Gaming console purchase,362.28,0
2/24/2024,Groceries,Netbanking,Purchased daily essentials,677.18,0
2/24/2024,Entertainment,Credit Card,Movie tickets,377.12,0
2/24/2024,Transportation,Cash,Uber ride to the office,442,0
2/25/2024,Transportation,Credit Card,Uber ride to the office,458.25,0
2/25/2024,Shopping,Debit Card,Bought household items,624.54,0
2/25/2024,Entertainment,Credit Card,Movie tickets,65.97,9.01
2/25/2024,Shopping,Cash,Bought household items,397.41,0
2/26/2024,Food,Credit Card,Had dinner at a restaurant with friends,633.23,0
2/26/2024,Groceries,Credit Card,Bought fresh fruits and snacks,303.99,0
2/27/2024,Entertainment,Credit Card,Movie tickets,200.62,0
2/27/2024,Entertainment,Credit Card,Concert tickets,676.11,0
2/27/2024,Entertainment,Netbanking,Concert tickets,867.67,0
2/27/2024,Investment,Netbanking,Purchased bonds,93.58,0
2/27/2024,Entertainment,Credit Card,Movie tickets,98.13,0
2/27/2024,Transportation,UPI,Paid for train ticket,968.91,1.34
2/27/2024,Entertainment,Netbanking,Concert tickets,850.25,0
2/28/2024,Groceries,Netbanking,Purchased daily essentials,712.21,0
2/28/2024,Medical Health,UPI,Doctor's consultation fee,682.74,0.42
2/28/2024,Medical Health,Credit Card,Medical insurance payment,965.12,0
2/28/2024,Food,UPI,Took out a meal from a restaurant,151.39,0
2/28/2024,Medical Health,Debit Card,Doctor's consultation fee,706.69,0
2/28/2024,Transportation,Debit Card,Paid for train ticket,940.69,0
3/1/2024,Entertainment,Cash,Gaming console purchase,788.38,0
3/1/2024,Medical Health,Credit Card,Medical insurance payment,733.98,6.93
3/1/2024,Entertainment,Cash,Gaming console purchase,570.96,0
3/1/2024,Food,Netbanking,Dinner delivery from zomato,933.37,0
3/1/2024,Medical Health,Cash,Bought medication,193.67,0
3/2/2024,Groceries,Debit Card,Bought vegetables and fruits,144.2,0
3/2/2024,Entertainment,Cash,Gaming console purchase,73.51,0
3/2/2024,Groceries,Debit Card,Purchased daily essentials,30.57,0
3/2/2024,Transportation,Netbanking,Bought a metro ticket for travel,365.93,0
3/2/2024,Food,Credit Card,Dinner delivery from zomato,42.02,0
3/2/2024,Entertainment,Netbanking,Gaming console purchase,602.41,0
3/3/2024,Shopping,Netbanking,Purchased electronics,157.12,0
3/3/2024,Groceries,Cash,Purchased daily essentials,19.95,0
3/3/2024,Transportation,UPI,Paid for a cab ride to work,728.67,0
3/3/2024,Medical Health,Credit Card,Bought medication,182.58,8.17
3/3/2024,Medical Health,Debit Card,Medical insurance payment,324.84,0
3/3/2024,Groceries,Credit Card,Grocery shopping at the local store,398.36,0
3/4/2024,Transportation,UPI,Paid for a cab ride to work,896.73,0
3/4/2024,Shopping,UPI,Bought a gift for a friend's birthday,684.65,0
3/4/2024,Medical Health,Netbanking,Medical insurance payment,493.28,0
3/4/2024,Groceries,Netbanking,Bought vegetables and fruits,346.66,0
3/4/2024,Transportation,Netbanking,Bought a metro ticket for travel,261.39,0
3/4/2024,Shopping,UPI,Shopping for accessories,566.26,7.18
